recid	adpricetype	adprice	adDepth	adType
1880010526	0	4.17	 	 
1880010527	0	5	 	 
1880010528	0	17.5	 	 
1880010529	0	4.59	 	 
1880010530	0	10	 	 
1880010531	0	12.25	 	 
1880010533	0	6.87	 	 
1880010534	0	6.75	 	 
1880010535	0	4	 	 
1880010536	0	9.62	 	 
1880010537	0	10	 	 
1880010538	0	10.5	 	 
1880010540	0	4.17	 	 
1880010541	0	4.17	 	 
1880010542	0	6.67	 	 
1880010543	0	6.55	 	 
1880010544	0	9.17	 	 
1880010545	0	5	 	 
1880010546	0	5	 	 
1880010547	0	5	 	 
1880010548	0	4.38	 	 
1880010549	0	5	 	 
1880010550	0	5	 	 
1880010551	0	5	 	 
1880010552	0	5	 	 
1880010553	0	6.67	 	 
1880010554	0	9.5	 	 
1880010555	0	4.5	 	 
1880010556	0	11.7	 	 
1880010557	0	6.67	 	 
1880010558	0	6.67	 	 
1880010559	0	4.17	 	 
1880010560	0	4.17	 	 
1880010561	0	8.75	 	 
1880010562	0	6	 	 
1880010563	0	6	 	 
1880010564	0	4.17	 	 
1880010565	0	5	 	 
1880010566	0	4.17	 	 
1880010567	0	5.75	 	 
1880010568	0	3.75	 	 
1880010569	0	5	 	 
1880010570	0	4.17	 	 
1880010571	0	4.17	 	 
1880010572	0	4.17	 	 
1880010573	0	2.5	 	 
1880010574	0	6	 	 
1880010575	0	2.5	 	 
1880010576	0	4.17	 	 
1880010577	0	4.17	 	 
1880010578	0	5	 	 
1880010579	0	5	 	 
1880010580	0	5	 	 
1880010581	0	10	 	 
1880010582	0	4	 	 
1880010583	0	10.4	 	 
1880010584	0	26	 	 
1880010585	0	14.28	 	 
1880010586	0	41.6	 	 
1880010587	0	6.67	 	 
1880010588	0	17.15	 	 
1880010589	0	20.8	 	 
1880010590	0	26	 	 
1880010592	0	21.45	 	 
1880010593	0	65	 	 
1880010594	0	41.2	 	 
1880010595	0	6	 	 
1880010596	0	5	 	 
1880010597	0	5	 	 
1880010598	0	4.17	 	 
1880010599	0	5	 	 
1880010600	0	5	 	 
1880010601	0	5	 	 
1880010602	0	4.17	 	 
1880010603	0	5	 	 
1880010604	0	5	 	 
1880010605	0	4	 	 
1880010606	0	5	 	 
1880010607	0	5	 	 
1880010608	0	5.84	 	 
1880010609	0	5	 	 
1880010610	0	5	 	 
1880010611	0	4.8	 	 
1880010612	0	5	 	 
1880010613	0	4.17	 	 
1880010614	0	6.67	 	 
1880010615	0	2.5	 	 
1880010616	0	3	 	 
1880010617	0	4.17	 	 
1880010618	0	5	 	 
1880010619	0	4.5	 	 
1880010620	0	6.25	 	 
1880010621	0	6	 	 
1880010622	0	5.43	 	 
1880010623	0	4.5	 	 
1880010624	0	5.84	 	 
1880010625	0	6.5	 	 
1880010626	0	6.5	 	 
1880010627	0	6.5	 	 
1880010628	0	8.13	 	 
1880010629	0	5	 	 
1880010630	0	6.67	 	 
1880010631	0	6.77	 	 
1880010632	0	6.77	 	 
1880010633	0	7.5	 	 
1880010634	0	7.5	 	 
1880010635	0	5	 	 
1880010636	0	5	 	 
1880010637	0	5	 	 
1880010638	0	5	 	 
1880010639	0	5	 	 
1880010640	0	1.5	 	 
1880010641	0	3	 	 
1880010642	0	3	 	 
1880010643	0	5	 	 
1880010644	0	5	 	 
1880010645	0	5.55	 	 
1880010646	0	5	 	 
1880010647	0	12	 	 
1880010648	0	6.67	 	 
1880010649	0	15	 	 
1880010650	0	5	 	 
1880010651	0	6.67	 	 
1880010652	0	4.17	 	 
1880010653	0	7	 	 
1880010654	0	7	 	 
1880010655	0	3.34	 	 
1880010656	0	4.17	 	 
1880010657	0	5	 	 
1880010658	0	4.17	 	 
1880010659	0	3.34	 	 
1880010660	0	3.34	 	 
1880010661	0	3.34	 	 
1880010662	0	6	 	 
1880010663	0	6	 	 
1880010664	0	5	 	 
1880010665	0	5	 	 
1880010666	0	5	 	 
1880010667	0	5	 	 
1880010668	0	7	 	 
1880010669	0	2.5	 	 
1880010670	0	1.75	 	 
1880010671	0	3	 	 
1880010672	0	3	 	 
1880010673	0	5	 	 
1880010674	0	6	 	 
1880010675	0	5	 	 
1880010676	0	6	 	 
1880010677	0	4	 	 
1880010678	0	4	 	 
1880010679	0	2.5	 	 
1880010680	0	5	 	 
1880010681	0	5	 	 
1880010682	0	4	 	 
1880010683	0	6	 	 
1880010684	0	10	 	 
1880010685	0	6	 	 
1880010686	0	11.25	 	 
1880010687	0	9	 	 
1880010688	0	6	 	 
1880010689	0	11	 	 
1880010690	0	2.5	 	 
1880010691	0	5	 	 
1880010692	0	3.75	 	 
1880010693	0	3.75	 	 
1880010694	0	6.67	 	 
1880010695	0	5.84	 	 
1880010696	0	5.84	 	 
1880010697	0	6.67	 	 
1880010698	0	5	 	 
1880010699	0	5.84	 	 
1880010700	0	5	 	 
1880010701	0	5	 	 
1880010702	0	5	 	 
1880010703	0	10	 	 
1880010704	0	3.75	 	 
1880010705	0	9.17	 	 
1880010706	0	5	 	 
1880010707	0	10	 	 
1880010708	0	14	 	 
1880010709	0	5	 	 
1880010710	0	4.17	 	 
1880010711	0	4.17	 	 
1880010712	0	5	 	 
1880010713	0	4.17	 	 
1880010714	0	6	 	 
1880010715	0	6	 	 
1880010716	0	5	 	 
1880010717	0	6.67	 	 
1880010718	0	11.25	 	 
1880010719	0	3.75	 	 
1880010720	0	6.67	 	 
1880010721	0	13	 	 
1880010722	0	13.3	 	 
1880010723	0	10	 	 
1880010724	0	30	 	 
1880010725	0	22.3	 	 
1880010726	0	23.1	 	 
1880010727	0	22	 	 
1880010728	0	13.5	 	 
1880010729	0	13.5	 	 
1880010730	0	6.67	 	 
1880010731	0	6.67	 	 
1880010732	0	4.17	 	 
1880010733	0	5	 	 
1880010734	0	4	 	 
1880010735	0	5	 	 
1880010736	0	8	 	 
1880010737	0	5.5	 	 
1880010738	0	3	 	 
1880010739	0	6	 	 
1880010740	0	6	 	 
1880010741	0	3	 	 
1880010742	0	7.5	 	 
1880010743	0	7.5	 	 
1880010744	0	8	 	 
1880010745	0	7.5	 	 
1880010746	0	5.5	 	 
1880010747	0	4	 	 
1880010748	0	9.37	 	 
1880010749	0	7.5	 	 
1880010750	0	9.37	 	 
1880010751	0	2.5	 	 
1880010752	0	5.5	 	 
1880010753	0	8	 	 
