GISJOIN,YEAR,STATE,STATEA,COUNTYA,CTY_SUBA,PLACE,PLACEA,TRACTA,ENUMDISTA,CMSA,SMSAA,URB_AREAA,BLCK_GRPA,ANXTERRA,URBRURALA,CDA,AREANAME,CENCNTY,CBD,SEA,CBC001
"G0100995","1970","Alabama","01",,,"Kinston","0995",,,,,,,,,,"Kinston",,,,540
"G0101000","1970","Alabama","01",,,"Lafayette","1000",,,,,,,,,,"Lafayette",,,,3530
"G0101002","1970","Alabama","01",,,"Lakeview","1002",,,,,,,,,,"Lakeview",,,,83
"G0101005","1970","Alabama","01",,,"Lanett","1005",,,,,,,,,,"Lanett",,,,6908
"G0101010","1970","Alabama","01",,,"Langdale (U)","1010",,,,,,,,,,"Langdale (U)",,,,2235
"G0101015","1970","Alabama","01",,,"Leeds","1015",,,,,,,,,,"Leeds",,,,6991
"G0101017","1970","Alabama","01",,,"Leesburg","1017",,,,,,,,,,"Leesburg",,,,98
"G0101020","1970","Alabama","01",,,"Leighton","1020",,,,,,,,,,"Leighton",,,,1231
"G0101023","1970","Alabama","01",,,"Lester","1023",,,,,,,,,,"Lester",,,,70
"G0101024","1970","Alabama","01",,,"Level Plains","1024",,,,,,,,,,"Level Plains",,,,142
"G0101025","1970","Alabama","01",,,"Lexington","1025",,,,,,,,,,"Lexington",,,,278
"G0101027","1970","Alabama","01",,,"Libertyville","1027",,,,,,,,,,"Libertyville",,,,141
"G0101030","1970","Alabama","01",,,"Lincoln","1030",,,,,,,,,,"Lincoln",,,,1127
"G0101035","1970","Alabama","01",,,"Linden","1035",,,,,,,,,,"Linden",,,,2697
"G0101040","1970","Alabama","01",,,"Lineville","1040",,,,,,,,,,"Lineville",,,,1984
"G0101045","1970","Alabama","01",,,"Lipscomb","1045",,,,,,,,,,"Lipscomb",,,,3225
"G0101050","1970","Alabama","01",,,"Lisman","1050",,,,,,,,,,"Lisman",,,,628
"G0101052","1970","Alabama","01",,,"Little Shawmut (U)","1052",,,,,,,,,,"Little Shawmut (U)",,,,2682
"G0101055","1970","Alabama","01",,,"Littleville","1055",,,,,,,,,,"Littleville",,,,858
"G0101060","1970","Alabama","01",,,"Livingston","1060",,,,,,,,,,"Livingston",,,,2358
"G0101065","1970","Alabama","01",,,"Lockhart","1065",,,,,,,,,,"Lockhart",,,,698
"G0101070","1970","Alabama","01",,,"Louisville","1070",,,,,,,,,,"Louisville",,,,785
"G0101072","1970","Alabama","01",,,"Lowndesboro","1072",,,,,,,,,,"Lowndesboro",,,,219
"G0101075","1970","Alabama","01",,,"Loxley","1075",,,,,,,,,,"Loxley",,,,859
"G0101080","1970","Alabama","01",,,"Luverne","1080",,,,,,,,,,"Luverne",,,,2440
"G0101085","1970","Alabama","01",,,"Lynn","1085",,,,,,,,,,"Lynn",,,,286
"G0101090","1970","Alabama","01",,,"Mc Kenzie","1090",,,,,,,,,,"Mc Kenzie",,,,491
"G0101095","1970","Alabama","01",,,"Madison","1095",,,,,,,,,,"Madison",,,,3086
"G0101100","1970","Alabama","01",,,"Madrid","1100",,,,,,,,,,"Madrid",,,,238
"G0101105","1970","Alabama","01",,,"Malvern","1105",,,,,,,,,,"Malvern",,,,227
"G0101110","1970","Alabama","01",,,"Maplesville","1110",,,,,,,,,,"Maplesville",,,,596
"G0101115","1970","Alabama","01",,,"Margaret","1115",,,,,,,,,,"Margaret",,,,685
"G0101120","1970","Alabama","01",,,"Marion","1120",,,,,,,,,,"Marion",,,,4289
"G0101125","1970","Alabama","01",,,"Maytown","1125",,,,,,,,,,"Maytown",,,,667
"G0101130","1970","Alabama","01",,,"Mentone","1130",,,,,,,,,,"Mentone",,,,407
"G0101135","1970","Alabama","01",,,"Midfield","1135",,,,,,,,,,"Midfield",,,,6399
"G0101140","1970","Alabama","01",,,"Midland City","1140",,,,,,,,,,"Midland City",,,,1172
"G0101145","1970","Alabama","01",,,"Midway","1145",,,,,,,,,,"Midway",,,,558
"G0101150","1970","Alabama","01",,,"Mignon (U)","1150",,,,,,,,,,"Mignon (U)",,,,1726
"G0101155","1970","Alabama","01",,,"Millport","1155",,,,,,,,,,"Millport",,,,1070
"G0101160","1970","Alabama","01",,,"Millry","1160",,,,,,,,,,"Millry",,,,911
"G0101165","1970","Alabama","01",,,"Mobile","1165",,,,,,,,,,"Mobile",,,,190026
"G0101170","1970","Alabama","01",,,"Monroeville","1170",,,,,,,,,,"Monroeville",,,,4846
"G0101175","1970","Alabama","01",,,"Montevallo","1175",,,,,,,,,,"Montevallo",,,,3719
"G0101180","1970","Alabama","01",,,"Montgomery","1180",,,,,,,,,,"Montgomery",,,,133386
"G0101183","1970","Alabama","01",,,"Moody","1183",,,,,,,,,,"Moody",,,,504
"G0101185","1970","Alabama","01",,,"Mooresville","1185",,,,,,,,,,"Mooresville",,,,72
"G0101190","1970","Alabama","01",,,"Morris","1190",,,,,,,,,,"Morris",,,,519
"G0101195","1970","Alabama","01",,,"Moulton","1195",,,,,,,,,,"Moulton",,,,2470
"G0101200","1970","Alabama","01",,,"Moundville","1200",,,,,,,,,,"Moundville",,,,996
"G0101202","1970","Alabama","01",,,"Mountainboro","1202",,,,,,,,,,"Mountainboro",,,,311
"G0101205","1970","Alabama","01",,,"Mountain Brook","1205",,,,,,,,,,"Mountain Brook",,,,19474
"G0101215","1970","Alabama","01",,,"Mount Vernon","1215",,,,,,,,,,"Mount Vernon",,,,1079
"G0101220","1970","Alabama","01",,,"Mulga","1220",,,,,,,,,,"Mulga",,,,582
"G0101225","1970","Alabama","01",,,"Muscle Shoals","1225",,,,,,,,,,"Muscle Shoals",,,,6907
"G0101230","1970","Alabama","01",,,"Myrtlewood","1230",,,,,,,,,,"Myrtlewood",,,,334
"G0101235","1970","Alabama","01",,,"Nauvoo","1235",,,,,,,,,,"Nauvoo",,,,265
"G0101240","1970","Alabama","01",,,"Newbern","1240",,,,,,,,,,"Newbern",,,,286
